Data,Horário,Equipe 1,Equipe 2,Placar,Categoria
21/03/2025,18:00,C.A. MONTE LIBANO,C.A. PAULISTANO,41 X 55,SUB 12 Masculino
19/03/2025,18:30,F.R. ALPHAVILLE,S.C. CORINTHIANS PTA.,39 X 53,SUB 12 Masculino
16/03/2025,09:00,S.E. PALMEIRAS,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,79 X 49,SUB 12 Masculino
16/03/2025,09:00,SÃO PAULO F.C.,SÃO BERNARDO BASQUETE,53 X 40,SUB 12 Masculino
16/03/2025,09:00,F.R. ALPHAVILLE,CIRCULO MILITAR S.P.,55 X 39,SUB 12 Masculino
15/03/2025,13:00,E.C. PINHEIROS,JACAREI BASKETBALL,64 X 28,SUB 12 Masculino
15/03/2025,13:00,CLUBE ESPERIA,C.A. MONTE LIBANO,40 X 42,SUB 12 Masculino
15/03/2025,09:00,AMAB / GIRAFINHAS / MAUA,S.C. CORINTHIANS PTA.,29 X 53,SUB 12 Masculino
15/03/2025,09:00,SANTO ANDRE / APABA,A.A. MOGI DAS CRUZES,52 X 43,SUB 12 Masculino
15/03/2025,09:00,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,DOUBLE VOTORANTIM BASKET,80 X 33,SUB 12 Masculino
09/03/2025,10:00,AMAB / GIRAFINHAS / MAUA,RM STARS BASQUETEBOL,43 X 51,SUB 12 Masculino
09/03/2025,09:00,SÃO BERNARDO BASQUETE,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,42 X 61,SUB 12 Masculino
09/03/2025,09:00,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,SANTO ANDRE / APABA,41 X 47,SUB 12 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
